LOAN  #,Account Number,Status,DEALER,NAME,YEAR,MAKE,MODEL,VIN,GAAP DATE,NOI SENT,DAFS,DATE SOLD,C/O DATE,MONTHS IN INVENTORY,LOCATION,SOLD TO,MILEAGE,CR Grade,CHARGEABLE DAMAGES,BALANCE REPO DATE,AWV,MMR,CASH PRICE,ESTIMATED RECOVERY %,CURRENT MO PROCEEDS ESTIMATE,EOM GAAP PROCEEDS ESTIMATE,ACTUAL PROCEEDS,BACK END PRODUCT CANCELLATION,INSURANCE CLAIMS,GROSS C/O AMT,UNEARNED DISCOUNT,NET LOSS OR GAIN,RECOVERY,REM BAL,CASH OR NEW A/C#?,REASON / COMMENTS,Notes,EXCEPTION?,EXCEPTION DETAIL,Same Month Sale,MIN VAL,GAIN (LOSS),% DIFF,REPO_MONTH,REPO_ALLOW2 (HIST),Proforma NRV,Proforma G/L,Proforma Difference
5365.1,1,Sold,MID CITY,,2015.0,CHEVY,CRUZE,1G1PG5SB2D7264834,09/30/2020,09/30/2020,10/12/2020,11/14/2020,11/23/2020,6.3,CARS,CARS,82343.0,2.4,2213.0,7342.84,,5850.0,5850.0,,0.0,4797.0,3300.0,0.0,0.0,-4042.84,510.21,-3532.63,,-3532.63,,,,,,0,5850.0,-2550.0,-0.4358974358974359,Sep-20,0.18,4797.0,-1497.0,-0.31207004377736086
5366.1,1,Sold,TOYO FINANCIAL,,2015.0,DODGE,JOURNEY,3C4PDCAB6FT736974,07/03/2019,07/03/2019,07/15/2019,08/22/2019,08/29/2019,21.5,IBEAM,MANHEIM/CARS,49715.0,3.2,1592.0,14861.91,10850.0,10500.0,10500.0,,0.0,7612.5,9100.0,0.0,0.0,-5761.91,1384.78,-4377.13,,-4377.13,,,,,,0,10500.0,-1400.0,-0.13333333333333333,Jul-19,0.275,7612.5,1487.5,0.0
5367.1,1,Sold,SOUTH TEXAS AUTO,,2013.0,NISSAN,ALTIMA,1N4AL3AP4DN444344,08/19/2019,08/19/2019,08/29/2019,10/02/2019,10/07/2019,19.9,IBEAM,CARS,71059.0,2.8,2265.0,9846.06,7185.0,7000.0,7000.0,,0.0,4802.0,4000.0,0.0,0.0,-5846.06,873.65,-4972.41,,-4972.41,,,,,,0,7000.0,-3000.0,-0.42857142857142855,Aug-19,0.314,4802.0,-802.0,-0.1670137442732195
5371.1,1,Sold,ALL AMERICAN AUTO FINANCE,,2009.0,INFINITI,FX35,JNRAS18W89M151705,07/14/2020,07/14/2020,07/24/2020,07/30/2020,07/30/2020,8.9,CARS,CARS,149727.0,,0.0,8184.63,,6825.0,6825.0,,0.0,4948.12,5000.0,0.0,0.0,-3184.63,482.21,-2702.42,,-2702.42,,,,,,1,6825.0,-1825.0,-0.2673992673992674,Jul-20,0.275,4948.12,51.88000000000011,0.0
5374.1,1,Sold,WATSON,,2013.0,NISSAN,ROGUE,JN8AS5MT6DW019840,08/09/2019,08/09/2019,08/19/2019,10/08/2019,10/15/2019,20.3,IBEAM,CARS,84012.0,1.9,3758.0,10689.99,6625.0,6125.0,6125.0,,0.0,4201.75,4600.0,0.0,0.0,-6089.99,1566.03,-4523.96,,-4523.96,,,,,,0,6125.0,-1525.0,-0.24897959183673468,Aug-19,0.314,4201.75,398.25,0.0
5375.1,1,Sold,WATSON,,2015.0,KIA,SEDONA,KNDMB5C13F6028961,01/07/2020,01/07/2020,01/17/2020,02/11/2020,02/19/2020,15.2,CARS,CARS,93024.0,2.3,3997.0,13067.36,,7300.0,7300.0,,0.0,4905.6,4100.0,0.0,0.0,-8967.36,1511.95,-7455.41,,-7455.41,,,,,,0,7300.0,-3200.0,-0.4383561643835616,Jan-20,0.328,4905.6,-805.6000000000004,-0.16422048271363346
5376.1,1,Sold,AM/PM PROS,,2011.0,GMC,TERRAIN,2CTFLWE55B6299556,10/07/2019,10/07/2019,10/17/2019,01/16/2020,01/24/2020,18.3,INNOVATE,INNOVATE,148922.0,1.9,3487.0,8686.66,6625.0,5300.0,5300.0,,0.0,3508.6,2500.0,0.0,0.0,-6186.66,970.01,-5216.65,,-5216.65,,,,,,0,5300.0,-2800.0,-0.5283018867924528,Oct-19,0.338,3508.6,-1008.5999999999999,-0.28746508578920366
5378.1,1,Sold,CAR COUNTRY,,2013.0,DODGE,DURANGO,1C4RDHAG2DC669722,09/11/2019,09/11/2019,09/23/2019,10/30/2019,10/30/2019,19.2,IBEAM,CARS,92714.0,3.2,3330.0,13208.91,11125.0,9225.0,9225.0,,0.0,6457.5,7300.0,0.0,0.0,-5908.91,1386.73,-4522.18,,-4522.18,,,,,,0,9225.0,-1925.0,-0.2086720867208672,Sep-19,0.3,6457.5,842.5,0.0
538.1,1,Sold,MIDCITY,,2006.0,VOLKSWAGEN,JETTA,,10/13/2014,,10/13/2014,10/29/2014,12/26/2014,79.0,TEXAS CAN,TEXAS CAN,203624.0,,0.0,4299.97,2755.0,1971.0,,,0.0,0.0,2650.0,0.0,0.0,-1649.97,243.83,-1406.14,0.0,-1406.14,CASH,,,,,1,1971.0,679.0,0.34449518011161845,Oct-14,,,,
5380.1,1,Sold,AUTO ONE,,2013.0,NISSAN,PATHFINDER,5N1AR2MN1DC628337,07/18/2019,07/18/2019,07/29/2019,09/25/2019,09/27/2019,21.0,IBEAM,CARS,91712.0,2.5,789.0,12890.39,9575.0,8300.0,8300.0,,0.0,6017.5,5900.0,0.0,0.0,-6990.39,1347.38,-5643.01,,-5643.01,,,,,,0,8300.0,-2400.0,-0.2891566265060241,Jul-19,0.275,6017.5,-117.5,-0.019526381387619442
